,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.2,0.0125 ,0.0103 ,0.0084 ,0.0049 ,0.0061 ,0.0075 ,0.0111 ,0.0000 ,0.0094 ,0.0053 ,0.0045 ,0.0024 ,0.0119 ,,0.0046 ,0.0040 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0019 ,0.0080 ,0.0080 ,0.0080 ,0.0039 ,,0.0000 ,0.0110 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.3,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0019 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,0.2375 ,0.2572 ,0.1952 ,0.1970 ,0.3110 ,0.2201 ,0.2000 ,0.2000 ,0.2453 ,0.2588 ,0.2492 ,0.2340 ,0.2738 ,,0.3117 ,0.3280 ,0.3740 ,0.2601 ,,0.2520 ,0.2120 ,0.2170 ,,0.1753 ,0.2170 ,0.1880 ,0.1390 ,0.2441 ,,0.2120 ,0.1720 ,0.2426 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.2,0.0125 ,0.0123 ,0.0349 ,0.0468 ,0.0244 ,0.0448 ,0.0333 ,0.0000 ,0.0283 ,0.0306 ,0.0453 ,0.0205 ,0.0268 ,,0.0091 ,0.0040 ,0.0040 ,0.0076 ,,0.0480 ,0.0480 ,0.0050 ,,0.0199 ,0.0050 ,0.0080 ,0.0250 ,0.0276 ,,0.0280 ,0.0300 ,0.0149 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.3,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0016 ,0.0060 ,,0.0073 ,0.0000 ,0.0000 ,0.0051 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,0.0625 ,0.1070 ,0.0904 ,0.0862 ,0.0488 ,0.1007 ,0.1056 ,0.1200 ,0.0943 ,0.0982 ,0.0997 ,0.0867 ,0.1101 ,,0.0868 ,0.1010 ,0.0970 ,0.0682 ,,0.0790 ,0.1240 ,0.1980 ,,0.0368 ,0.0420 ,0.0390 ,0.0570 ,0.0276 ,,0.0440 ,0.0370 ,0.0396 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.2,0.0750 ,0.1049 ,0.0855 ,0.1084 ,0.0732 ,0.0560 ,0.0778 ,0.0900 ,0.1038 ,0.0724 ,0.0725 ,0.1119 ,0.0804 ,,0.0594 ,0.0520 ,0.0710 ,0.1212 ,,0.0710 ,0.0740 ,0.0610 ,,0.1324 ,0.1330 ,0.1720 ,0.1480 ,0.1299 ,,0.1120 ,0.1270 ,0.1040 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,0.0375 ,0.0247 ,0.0253 ,0.0197 ,0.0488 ,0.0075 ,0.0167 ,0.0300 ,0.0000 ,0.0218 ,0.0242 ,0.0126 ,0.0238 ,,0.0329 ,0.0200 ,0.0240 ,0.0278 ,,0.0260 ,0.0260 ,0.0420 ,,0.0099 ,0.0080 ,0.0390 ,0.0330 ,0.0118 ,,0.0080 ,0.0040 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32.2,0.1375 ,0.1152 ,0.1193 ,0.1232 ,0.1341 ,0.1418 ,0.1056 ,0.1400 ,0.0660 ,0.1335 ,0.1254 ,0.1387 ,0.1220 ,,0.1170 ,0.1210 ,0.0760 ,0.1389 ,,0.1240 ,0.1550 ,0.1560 ,,0.1872 ,0.1080 ,0.0860 ,0.1480 ,0.1142 ,,0.1240 ,0.1640 ,0.1485 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32.3,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0100 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
