,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.1313 ,0.1337 ,0.1337 ,0.1158 ,0.1585 ,0.1455 ,0.0944 ,0.1300 ,0.1038 ,0.1076 ,0.1163 ,0.1079 ,0.1369 ,,0.1344 ,0.1630 ,0.1210 ,0.1313 ,,0.1670 ,0.1380 ,0.1460 ,,0.1464 ,0.2000 ,0.1250 ,0.1480 ,0.1890 ,,0.1440 ,0.1760 ,0.2039 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0188 ,0.0062 ,0.0096 ,0.0123 ,0.0061 ,0.0075 ,0.0000 ,0.0000 ,0.0000 ,0.0094 ,0.0076 ,0.0079 ,0.0000 ,,0.0064 ,0.0170 ,0.0150 ,0.0101 ,,0.0170 ,0.0140 ,0.0090 ,,0.0089 ,0.0080 ,0.0000 ,0.0000 ,0.0118 ,,0.0280 ,0.0120 ,0.0097 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0000 ,0.0021 ,0.0048 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0094 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,,0.0027 ,0.0050 ,0.0000 ,0.0000 ,,0.0000 ,0.0050 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0080 ,0.0000 ,,0.0040 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 7,D13S317 ,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0056 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.0000 ,0.0000 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0018 ,0.0030 ,0.0020 ,0.0025 ,,0.0020 ,0.0050 ,0.0000 ,,0.0049 ,0.0000 ,0.0080 ,0.0000 ,0.0118 ,,0.0000 ,0.0030 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.2000 ,0.2243 ,0.2265 ,0.1823 ,0.2195 ,0.2052 ,0.1833 ,0.1800 ,0.2453 ,0.2105 ,0.2069 ,0.2213 ,0.2213 ,,0.2495 ,0.2650 ,0.2230 ,0.2803 ,,0.2930 ,0.2480 ,0.2640 ,,0.1703 ,0.3250 ,0.4610 ,0.3030 ,0.1693 ,,0.1360 ,0.1470 ,0.2330 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.0938 ,0.0556 ,0.0783 ,0.0640 ,0.0732 ,0.0784 ,0.0833 ,0.0500 ,0.1038 ,0.1020 ,0.0952 ,0.1268 ,0.1268 ,,0.1353 ,0.1470 ,0.1650 ,0.0909 ,,0.1670 ,0.1400 ,0.1420 ,,0.0677 ,0.1000 ,0.0390 ,0.0490 ,0.1339 ,,0.0800 ,0.0680 ,0.0388 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.1125 ,0.1626 ,0.1723 ,0.1626 ,0.1768 ,0.1567 ,0.1667 ,0.1800 ,0.1038 ,0.1521 ,0.1858 ,0.1307 ,0.1307 ,,0.1517 ,0.1090 ,0.1410 ,0.1540 ,,0.1290 ,0.1480 ,0.0990 ,,0.0677 ,0.0750 ,0.0630 ,0.0820 ,0.1181 ,,0.0880 ,0.0920 ,0.0534 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.3563 ,0.2613 ,0.2434 ,0.2709 ,0.2195 ,0.3134 ,0.2889 ,0.2000 ,0.2075 ,0.2335 ,0.2420 ,0.2087 ,0.2087 ,,0.2404 ,0.2240 ,0.2360 ,0.1919 ,,0.2290 ,0.2400 ,0.3070 ,,0.2649 ,0.2080 ,0.2810 ,0.2870 ,0.2638 ,,0.3320 ,0.2760 ,0.2233 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.1688 ,0.1790 ,0.1880 ,0.2094 ,0.1951 ,0.1828 ,0.1944 ,0.2400 ,0.2358 ,0.1928 ,0.1737 ,0.2039 ,0.2039 ,,0.1709 ,0.2020 ,0.1990 ,0.2197 ,,0.1330 ,0.1710 ,0.1510 ,,0.3047 ,0.2330 ,0.1090 ,0.1890 ,0.2323 ,,0.2760 ,0.2970 ,0.3447 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.0563 ,0.0988 ,0.0783 ,0.0936 ,0.0976 ,0.0597 ,0.0667 ,0.0900 ,0.0943 ,0.0820 ,0.0816 ,0.0819 ,0.0819 ,,0.0411 ,0.0410 ,0.0220 ,0.0354 ,,0.0380 ,0.0400 ,0.0280 ,,0.0946 ,0.0580 ,0.0390 ,0.0490 ,0.0669 ,,0.0680 ,0.0900 ,0.0534 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0125 ,0.0123 ,0.0120 ,0.0172 ,0.0183 ,0.0037 ,0.0111 ,0.0600 ,0.0094 ,0.0265 ,0.0151 ,0.0228 ,0.0228 ,,0.0073 ,0.0090 ,0.0130 ,0.0227 ,,0.0100 ,0.0020 ,0.0090 ,,0.0249 ,0.0000 ,0.0000 ,0.0410 ,0.0039 ,,0.0120 ,0.0270 ,0.0534 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0000 ,0.0062 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0006 ,0.0000 ,0.0039 ,0.0039 ,,0.0018 ,0.0000 ,0.0000 ,0.0025 ,,0.0000 ,0.0050 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0040 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0040 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 8,D16S539,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0050 ,,0.0000 ,0.0000 ,0.0080 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.0313 ,0.0185 ,0.0325 ,0.0049 ,0.0122 ,0.0261 ,0.0278 ,0.0100 ,0.0094 ,0.0171 ,0.0091 ,0.0118 ,0.0030 ,,0.0046 ,0.0010 ,0.0000 ,0.0076 ,,0.0070 ,0.0140 ,0.0000 ,,0.0607 ,0.1080 ,0.4610 ,0.3030 ,0.0866 ,,0.0508 ,0.0410 ,0.0340 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.2438 ,0.1955 ,0.1988 ,0.2167 ,0.1890 ,0.2761 ,0.2833 ,0.1200 ,0.1321 ,0.2188 ,0.2085 ,0.1882 ,0.2381 ,,0.2733 ,0.3450 ,0.3010 ,0.2702 ,,0.2170 ,0.1620 ,0.3160 ,,0.1394 ,0.1920 ,0.0390 ,0.0490 ,0.1772 ,,0.1102 ,0.1660 ,0.1359 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.0938 ,0.1276 ,0.1482 ,0.1182 ,0.1829 ,0.1194 ,0.0944 ,0.1000 ,0.1604 ,0.1259 ,0.1405 ,0.1394 ,0.1548 ,,0.1197 ,0.2060 ,0.1770 ,0.1263 ,,0.1710 ,0.1690 ,0.1270 ,,0.1006 ,0.0830 ,0.0630 ,0.0820 ,0.0984 ,,0.0932 ,0.1150 ,0.0874 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.3063 ,0.3416 ,0.2614 ,0.3571 ,0.2988 ,0.2351 ,0.2111 ,0.4500 ,0.3019 ,0.3200 ,0.3550 ,0.2953 ,0.2470 ,,0.2614 ,0.1890 ,0.2730 ,0.2424 ,,0.2980 ,0.3020 ,0.3070 ,,0.3047 ,0.2250 ,0.2810 ,0.2870 ,0.2795 ,,0.4110 ,0.3090 ,0.3544 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.2250 ,0.2284 ,0.2663 ,0.2266 ,0.2073 ,0.2463 ,0.2611 ,0.3000 ,0.2453 ,0.2182 ,0.1979 ,0.2646 ,0.2381 ,,0.2066 ,0.1810 ,0.1710 ,0.2298 ,,0.1900 ,0.2210 ,0.1320 ,,0.2480 ,0.2330 ,0.1090 ,0.1890 ,0.1969 ,,0.1907 ,0.2530 ,0.2913 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.0813 ,0.0823 ,0.0771 ,0.0616 ,0.1037 ,0.0858 ,0.1111 ,0.0200 ,0.1321 ,0.0918 ,0.0785 ,0.0898 ,0.1012 ,,0.1143 ,0.0670 ,0.0760 ,0.0909 ,,0.1050 ,0.1120 ,0.0990 ,,0.1225 ,0.1170 ,0.0390 ,0.0490 ,0.1299 ,,0.1229 ,0.0970 ,0.0874 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0188 ,0.0062 ,0.0157 ,0.0148 ,0.0061 ,0.0075 ,0.0111 ,0.0000 ,0.0189 ,0.0071 ,0.0091 ,0.0110 ,0.0179 ,,0.0192 ,0.0100 ,0.0000 ,0.0328 ,,0.0120 ,0.0190 ,0.0140 ,,0.0219 ,0.0420 ,0.0000 ,0.0410 ,0.0315 ,,0.0169 ,0.0200 ,0.0097 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0037 ,0.0000 ,0.0000 ,0.0000 ,0.0012 ,0.0015 ,0.0000 ,0.0000 ,,0.0009 ,0.0010 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0019 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0042 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 9,D2S1338 ,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.0000 ,0.0000 ,0.0000 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.0000 ,0.0000 ,0.0000 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0010 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0043 ,0.0000 ,0.0243 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.0000 ,0.0165 ,0.0036 ,0.0049 ,0.0061 ,0.0149 ,0.0056 ,0.0100 ,0.0189 ,0.0071 ,0.0030 ,0.0024 ,0.0060 ,,0.0073 ,0.0100 ,0.0060 ,0.0000 ,,0.0210 ,0.0240 ,0.0240 ,,0.0049 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0304 ,0.0310 ,0.0437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.0500 ,0.0453 ,0.0349 ,0.0345 ,0.0244 ,0.0448 ,0.0333 ,0.0400 ,0.0660 ,0.0465 ,0.0453 ,0.0488 ,0.0506 ,,0.0576 ,0.1000 ,0.1020 ,0.0379 ,,0.0860 ,0.0900 ,0.0990 ,,0.1065 ,0.0580 ,0.0320 ,0.0570 ,0.0709 ,,0.1739 ,0.1300 ,0.2233 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.0938 ,0.0782 ,0.1072 ,0.1108 ,0.0915 ,0.1119 ,0.1500 ,0.1000 ,0.0283 ,0.1041 ,0.0997 ,0.0890 ,0.1191 ,,0.1234 ,0.1620 ,0.1470 ,0.1061 ,,0.0690 ,0.0880 ,0.0280 ,,0.1514 ,0.1330 ,0.1690 ,0.2380 ,0.1417 ,,0.1348 ,0.1200 ,0.1165 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0.2250 ,0.2305 ,0.1663 ,0.1700 ,0.2500 ,0.1791 ,0.1278 ,0.2200 ,0.2547 ,0.2106 ,0.1918 ,0.1504 ,0.1696 ,,0.1527 ,0.1960 ,0.1820 ,0.2399 ,,0.2260 ,0.2430 ,0.2170 ,,0.1633 ,0.1920 ,0.2580 ,0.1800 ,0.2126 ,,0.1000 ,0.1560 ,0.1019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.1188 ,0.1379 ,0.1181 ,0.1601 ,0.1280 ,0.1157 ,0.0889 ,0.2300 ,0.1509 ,0.1588 ,0.1133 ,0.1740 ,0.1280 ,,0.1188 ,0.0840 ,0.1130 ,0.1212 ,,0.1360 ,0.0930 ,0.0900 ,,0.1255 ,0.0830 ,0.0970 ,0.0660 ,0.0945 ,,0.1261 ,0.1380 ,0.1796 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,0.0688 ,0.0391 ,0.0482 ,0.0640 ,0.0610 ,0.0299 ,0.0611 ,0.0400 ,0.0660 ,0.0447 ,0.0619 ,0.0402 ,0.0387 ,,0.0311 ,0.0140 ,0.0190 ,0.0429 ,,0.0620 ,0.0450 ,0.0190 ,,0.0388 ,0.0500 ,0.0560 ,0.0490 ,0.0433 ,,0.0304 ,0.0330 ,0.0340 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,0.0125 ,0.0679 ,0.0494 ,0.0123 ,0.0244 ,0.0336 ,0.0333 ,0.0300 ,0.0472 ,0.0388 ,0.0710 ,0.0449 ,0.0566 ,,0.0420 ,0.0550 ,0.0280 ,0.0606 ,,0.0380 ,0.0900 ,0.1320 ,,0.0458 ,0.0330 ,0.0560 ,0.0660 ,0.0827 ,,0.0217 ,0.0380 ,0.0388 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.1938 ,0.2305 ,0.2446 ,0.2611 ,0.2439 ,0.2388 ,0.2500 ,0.2200 ,0.2453 ,0.2029 ,0.1980 ,0.2528 ,0.1845 ,,0.1993 ,0.1440 ,0.1750 ,0.1742 ,,0.1640 ,0.1450 ,0.1560 ,,0.1613 ,0.2330 ,0.1770 ,0.1890 ,0.1614 ,,0.1696 ,0.2020 ,0.1311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0.2000 ,0.1070 ,0.1518 ,0.1330 ,0.1098 ,0.1567 ,0.1778 ,0.1000 ,0.0755 ,0.1206 ,0.1526 ,0.1457 ,0.1399 ,,0.1819 ,0.1240 ,0.1340 ,0.1288 ,,0.1500 ,0.0930 ,0.1560 ,,0.1075 ,0.1330 ,0.0730 ,0.0740 ,0.1102 ,,0.1000 ,0.0840 ,0.0583 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,0.0313 ,0.0350 ,0.0602 ,0.0419 ,0.0427 ,0.0672 ,0.0667 ,0.0000 ,0.0283 ,0.0559 ,0.0559 ,0.0417 ,0.0952 ,,0.0640 ,0.0700 ,0.0690 ,0.0556 ,,0.0430 ,0.0710 ,0.0750 ,,0.0767 ,0.0420 ,0.0560 ,0.0570 ,0.0591 ,,0.1043 ,0.0590 ,0.0437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.0063 ,0.0103 ,0.0108 ,0.0025 ,0.0183 ,0.0075 ,0.0056 ,0.0000 ,0.0189 ,0.0076 ,0.0076 ,0.0087 ,0.0119 ,,0.0174 ,0.0330 ,0.0150 ,0.0278 ,,0.0050 ,0.0140 ,0.0050 ,,0.0169 ,0.0170 ,0.0160 ,0.0250 ,0.0118 ,,0.0043 ,0.0100 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,0.0000 ,0.0021 ,0.0048 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0100 ,0.0000 ,0.0024 ,0.0000 ,0.0008 ,0.0000 ,,0.0037 ,0.0050 ,0.0040 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0009 ,0.0250 ,0.0080 ,0.0000 ,0.0039 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0008 ,0.0000 ,,0.0009 ,0.0020 ,0.0000 ,0.0051 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 10, D19S433,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0170 ,0.0070 ,0.0000 ,,0.0009 ,0.0000 ,0.0080 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0008 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0050 ,,0.0009 ,0.0590 ,0.0000 ,0.0079 ,0.0079 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.2,0.0000 ,0.0021 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0094 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0039 ,0.0039 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.0000 ,0.0021 ,0.0000 ,0.0025 ,0.0000 ,0.0037 ,0.0056 ,0.0000 ,0.0000 ,0.0012 ,0.0015 ,0.0016 ,0.0030 ,,0.0009 ,0.0030 ,0.0020 ,0.0025 ,,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0170 ,0.0230 ,0.0000 ,0.0000 ,,0.0121 ,0.0030 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0024 ,0.0000 ,,0.0000 ,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0009 ,0.0170 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
